test results;;
1; 31077;
2; 28733;
3; 33974;
4; 27471;
5; 27760;
6; 27894;
7; 27647;
8; 27581;
9; 27475;
10; 27618;
11; 27492;
12; 27853;
13; 27441;
14; 27352;
15; 27422;
16; 27550;
17; 27762;
18; 27712;
19; 31664;
20; 27677;
